course_name,institution,location,description,cost,dur_period,dur_number,extra_0,extra_1,extra_2,extra_3,extra_4
Data Analytics and Artificial Intelligence,EDHEC Business School,"Lille, France",The M.Sc. in Data Analytics and Artificial Intelligence from EDHEC Business School will hone business decisionmaking skills. ,"24,900 EUR / year",month,12,M.Sc.,Full-time,,,
Business Analytics online,University of Bath Online,Online,"The University of Bath’s EQUIS-accredited School of Management delivers this online MSc with units run in partnership with IBM and SAS. Bridging the gap between data science and business management, the MSc in Business Analytics online at the University of Bath equips you with the necessary technical skills and expertise to take your career to the next level.","7,358 EUR / year",month,27,M.Sc.,Full-time,,,
"Graduate Diploma in Science, Computing and Engineering",INTO University of Stirling,"Stirling, Scotland, United Kingdom","The Graduate Diploma in Science, Computing and Engineering at INTO University of Stirling is a preparation program that upgrades your academic skills, English language level in order to be accepted to a Master’s program.","17,653 EUR / year",month,9,Pre-Master,Full-time,,,
Business Intelligence and Analytics,GISMA Business School - The University of Law,"Berlin, Germany",The MSc Business Intelligence and Analytics course from GISMA Business School is designed for those who have a numerical background and want to develop their understanding in data management and cyber security. ,"16,000 EUR / year",month,12,M.Sc.,Full-time,,,
Data Analytics for Business,ISEG - Lisbon School of Economics and Management,"Lisbon, Portugal","Applications open for enrollments until 31 July 2020. Located in the center of Lisbon, ISEG has a long tradition and experience in research and teaching in INFORMATION SYSTEMS, MATHEMATICS, AND DATA ANALYSIS. The Masters in Data Analytics for Business prepares its graduates for new challenges associated with the reality of big data, business analytics, coding, data science, and machine learning.","5,433 EUR / year",month,18,M.Sc.,Full-time,,,
"Design by Data - Computational Design, Digital Manufacturing and Building Technologies",École des Ponts ParisTech,"Paris, France","The Design by Data - Computational Design, Digital Manufacturing and Building Technologies program from École des Ponts ParisTech provides attendees with a cross-disciplinary culture of computational design and comprehensive knowledge of cutting-edge technologies in the fields of parametric architecture, robotics, digital manufacturing and 3D printing for the construction industry.","9,750 EUR / year",month,16,M.Sc.,Part-time,,,
Data Analytics and Marketing,"Arden University, Study Center Berlin","Berlin, Germany","Learn a range of essential marketing skills, including analysing statistics and interpreting large sets of data, with this Data Analytics and Marketing programme delivered and awarded by Arden University, Study Center Berlin.","15,000 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Accounting (Data and Analytics),Singapore Management University,"Singapore, Singapore","The Accounting (Data and Analytics) programme from Singapore Management University is the first specialised Master’s degree in accounting data and analytics in Asia. Unlike any other postgraduate analytics programme, the MSA’s data and analytics track goes deep into the application of data technology in the accounting domain. ","24,560 EUR / year",month,14,M.Sc.,Full-time,Part-time,,
Business Analytics,Babson College,"Wellesley, Massachusetts, United States","The influence of big data on business decision making is greater than ever. So is the demand for skilled translators who can convert data into critical insights that lead to game-changing business solutions. Discover how Babson’s Master of Science in Business Analytics can prepare you for a career in analytics with this full-time, STEM-designated program (completed in either 9 or 16 months).","47,347 EUR / full",month,9,M.Sc.,Full-time,,,
Cyber Security and Data Governance,GISMA Business School - The University of Law,"Berlin, Germany","The MSc in Cyber Security and Data Governance from GISMA Business School will teach you about today’s digital world. Through a core focus on critical problem-solving skills, the programme will you ensure you are ready to face the challenges presented in the field of corporate financial management.","16,000 EUR / year",month,12,M.Sc.,Full-time,,,
Data Analytics and Information Systems Management,"Arden University, Study Center Berlin","Berlin, Germany","This Data Analytics and Information Systems Management course at Arden University, Study Center Berlin will give you the skills you need to benefit from the opportunities big data offers. Gaining this essential knowledge will allow you to apply data handling methods to inform your business decisions and ensure your firm’s information systems are aligned with business goals and strategies.","15,000 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Online Master of Business Administration - Data Analytics,Nottingham Trent University Online,Online,"In today’s modern economy, data is very easy to gather and store. However, it’s knowing what to do with it that presents an obstacle. The Online Master of Business Administration - Data Analytics from Nottingham Trent University Online is designed to help you unlock that ability, without ever having to set foot on campus.","7,019 EUR / year",month,30,M.B.A.,Part-time,,,
Data Analytics and Finance,Arden University,Online,The Data Analytics and Finance programme is offered by Arden University.,"6,957 EUR / year",month,18,M.Sc.,Part-time,,,
Data Analytics and Information Systems Management,Arden University,Online,The Data Analytics and Information Systems Management programme is offered by Arden University.,"6,264 EUR / year",month,18,M.Sc.,Part-time,,,
Data Analytics and Information Systems,Texas State University,"San Marcos, Texas, United States",The main objective of the M.S. major in Data Analytics and Information Systems at Texas State University is to ensure that graduates can use appropriate data analysis methods and cutting-edge information technologies to derive actionable business intelligence.,"13,389 EUR / year",month,12,M.Sc.,Full-time,,,
Precision Medicine - Genomics and Analytics,University of Leeds,"Leeds, England, United Kingdom","This distinctive Precision Medicine - Genomics and Analytics programme from University of Leeds has been designed to directly meet research needs in industry and academia where there is a need for scientists with both biological knowledge and the computational, statistical and analytical skills to drive genomic precision medicine.",,month,12,M.Sc.,Full-time,,,
